# Canonical UI label catalog (i18n) - PORTABLE SOURCE OF TRUTH.
#
# Applied at startup by UiTranslationSyncService to ANY active database
# (SQLite and PostgreSQL) through JPA: this mechanism keeps localizations
# aligned across the two engines.
#
# RULE: add every NEW UI key HERE, never in DemoDataRepository's
# seedLabelTranslations* methods (SQLite-only SQL, not run under the PostgreSQL profile).
#
# TSV format, one record per line, with seven TAB-separated fields:
#   key <TAB> description <TAB> it <TAB> en <TAB> fr <TAB> es <TAB> de
# All five languages are required and must be non-empty (verified by UiTranslationCatalogTest).
# Empty lines and lines starting with # are ignored. Values cannot contain TAB characters.
# Synchronization is ADDITIVE: it never overwrites translations already present in the database
# (changes made on the Labels page remain intact).
#
affinity.avoid	Livello compatibilità: da evitare	Da evitare	Avoid	À éviter	A evitar	Zu vermeiden
pdfTpl.logoTooLarge	Errore logo troppo grande	Il logo non può superare 5 MB.	The logo cannot exceed 5 MB.	Le logo ne peut pas dépasser 5 Mo.	El logotipo no puede superar los 5 MB.	Das Logo darf 5 MB nicht überschreiten.
pdfTpl.noFormats	Messaggio nessun formato PDF configurato	Nessun formato PDF configurato.	No PDF format configured.	Aucun format PDF configuré.	Ningún formato PDF configurado.	Kein PDF-Format konfiguriert.
pdfTpl.preview	Etichetta anteprima template PDF	Anteprima	Preview	Aperçu	Vista previa	Vorschau
pdfTpl.previewFooter	Nota piè di pagina anteprima PDF	Data di generazione e numero pagina	Generation date and page number	Date de génération et numéro de page	Fecha de generación y número de página	Erstellungsdatum und Seitenzahl
pdfTpl.structure	Etichetta azienda template PDF	Azienda	Company	Entreprise	Empresa	Unternehmen
pdfTpl.structureLocked	Nota azienda non modificabile in modifica	L’azienda associata non può essere cambiata durante la modifica.	The associated company cannot be changed while editing.	L’entreprise associée ne peut pas être changée pendant la modification.	La empresa asociada no se puede cambiar durante la edición.	Das zugeordnete Unternehmen kann während der Bearbeitung nicht geändert werden.
placeholder.address	Placeholder indirizzo	Inserisci indirizzo	Enter address	Entrer l'adresse	Ingrese dirección	Adresse eingeben
placeholder.email	Placeholder Email	nome@esempio.it	name@example.com	nom@exemple.fr	nombre@ejemplo.es	name@beispiel.de
placeholder.locationCode	Placeholder codice sede	Inserisci codice sede	Enter location code	Entrez le code du lieu	Ingrese código ubicación	Ortscode eingeben
placeholder.locationName	Placeholder nome sede	Inserisci nome sede	Enter location name	Entrez le nom du lieu	Ingrese nombre ubicación	Ortsname eingeben
placeholder.locationOrder	Placeholder ordine sede	Inserisci ordine sede	Enter location order	Entrez l'ordre du lieu	Ingrese orden ubicación	Ortsreihenfolge eingeben
placeholder.phone	Placeholder telefono	Inserisci telefono	Enter phone	Entrer le téléphone	Ingrese teléfono	Telefon eingeben
placeholder.searchKeyOrDescription	Placeholder cerca chiave o descrizione	Cerca chiave o descrizione...	Search key or description...	Rechercher clé ou description...	Buscar clave o descripción...	Schlüssel oder Beschreibung suchen...
placeholder.searchLabels	Placeholder cerca etichette	Cerca chiave, descrizione o traduzione...	Search key, description or translation...	Rechercher clé, description ou traduction...	Buscar clave, descripción o traducción...	Schlüssel, Beschreibung oder Übersetzung suchen...
placeholder.selectFacility	Placeholder seleziona struttura	Seleziona struttura...	Select facility...	Sélectionner structure...	Seleccionar instalación...	Einrichtung auswählen...
placeholder.selectLocation	Placeholder seleziona sede	Seleziona Sede	Select Location	Sélectionner Lieu	Seleccionar Ubicación	Ort auswählen
placeholder.selectNurse	Placeholder seleziona infermiera	Seleziona infermiera...	Select nurse...	Sélectionner infirmière...	Seleccionar enfermera...	Krankenschwester auswählen...
placeholder.skillName	Placeholder nome skill	Nome Skill	Skill Name	Nom Compétence	Nombre Habilidad	Kompetenzname
placeholder.structureName	Placeholder nome struttura	Inserisci nome struttura	Enter structure name	Nom de la structure	Nombre de la estructura	Strukturname eingeben
placeholder.templateDescription	Placeholder descrizione template	Descrizione del template…	Template description…	Description du modèle…	Descripción de la plantilla…	Beschreibung der Vorlage…
report.allEmployees	Opzione filtro tutti i dipendenti (Report)	— Tutti gli operatori —	— All operators —	— Tous les opérateurs —	— Todos los operadores —	— Alle Mitarbeiter —
report.allLocations	Opzione filtro tutte le sedi (Report)	— Tutte le sedi —	— All locations —	— Tous les sites —	— Todas las sedes —	— Alle Standorte —
report.allLocationsPlain	Intestazione risultati: tutte le sedi	Tutte le sedi	All locations	Tous les sites	Todas las sedes	Alle Standorte
report.allShifts	Intestazione anteprima senza filtri (Report)	Tutti i turni	All shifts	Tous les créneaux	Todos los turnos	Alle Schichten
report.coverageLabel	Prefisso riga copertura sede (Report)	Copertura	Coverage	Couverture	Cobertura	Abdeckung
report.downloadPdf	Tooltip icona download PDF	Scarica il PDF	Download the PDF	Télécharger le PDF	Descargar el PDF	PDF herunterladen
report.emailSent	Stato riga: email inviata	Email inviata	Email sent	E-mail envoyé	Email enviado	E-Mail gesendet
report.generating	Pulsante durante la generazione PDF (Report)	Generazione PDF…	Generating PDFs…	Génération des PDF…	Generando PDF…	PDF-Erstellung…
report.hours	Etichetta ore totali (Report)	Ore	Hours	Heures	Horas	Stunden
report.menu.coverage	Voce sidebar Report: Copertura Sedi	Report per Caposala	Head Nurse Report	Rapport infirmière-chef	Informe para enfermera jefe	Bericht für Stationsleitung
report.menu.coverage.tooltip	Tooltip voce Copertura Sedi	Report di copertura per sede, da stampare	Coverage report by location, ready to print	Rapport de couverture par site, à imprimer	Informe de cobertura por sede, listo para imprimir	Abdeckungsbericht je Standort, druckfertig
report.menu.send	Voce sidebar Report: Invio Turni	Invio Turni	Send Shifts	Envoi des créneaux	Envío de turnos	Schichtversand
report.menu.send.tooltip	Tooltip voce Invio Turni	Invia a ogni operatore i suoi turni via email	Email each operator their own shifts	Envoyer à chaque opérateur ses créneaux par e-mail	Envía a cada operador sus turnos por email	Jedem Mitarbeiter seine Schichten per E-Mail senden
report.noEmail	Errore: dipendente senza indirizzo email	Indirizzo email mancante	Missing email address	Adresse e-mail manquante	Falta la dirección de email	E-Mail-Adresse fehlt
report.noShiftsFor	Prefisso avviso nessun turno (Report)	Nessun turno per	No shifts for	Aucun créneau pour	No hay turnos para	Keine Schichten für
report.openPdf	Tooltip link apertura PDF nel browser	Apri il PDF nel browser	Open the PDF in the browser	Ouvrir le PDF dans le navigateur	Abrir el PDF en el navegador	PDF im Browser öffnen
report.pickDate	Tooltip etichetta periodo cliccabile (Report)	Clicca per scegliere una data (i giorni con turni sono evidenziati)	Click to pick a date (days with shifts are highlighted)	Cliquez pour choisir une date (les jours avec créneaux sont mis en évidence)	Haz clic para elegir una fecha (los días con turnos están resaltados)	Klicken Sie, um ein Datum zu wählen (Tage mit Schichten sind hervorgehoben)
report.retrySend	Tooltip: invio fallito, riprova	Clicca per riprovare	Click to retry	Cliquez pour réessayer	Haz clic para reintentar	Zum Wiederholen klicken
report.selectForPdf	Tooltip PDF disabilitato senza filtri (Report)	Seleziona un operatore o una sede per generare il PDF	Select an operator or a location to generate the PDF	Sélectionnez un opérateur ou un site pour générer le PDF	Selecciona un operador o una sede para generar el PDF	Wählen Sie einen Mitarbeiter oder einen Standort, um das PDF zu erstellen
report.sentOn	Prefisso data ultimo invio email (Report)	Inviata il	Sent on	Envoyé le	Enviado el	Gesendet am
report.shiftLabel	Suffisso conteggio turni (Report)	turno/i	shift(s)	créneau(x)	turno(s)	Schicht(en)
rte.bold	Editor HTML: grassetto	Grassetto	Bold	Gras	Negrita	Fett
rte.clear	Editor HTML: rimuovi formattazione	Rimuovi formattazione	Clear formatting	Effacer la mise en forme	Quitar formato	Formatierung entfernen
rte.italic	Editor HTML: corsivo	Corsivo	Italic	Italique	Cursiva	Kursiv
rte.link	Editor HTML: inserisci link	Inserisci link	Insert link	Insérer un lien	Insertar enlace	Link einfügen
rte.linkPrompt	Editor HTML: prompt URL link	URL del link:	Link URL:	URL du lien :	URL del enlace:	Link-URL:
rte.ol	Editor HTML: elenco numerato	Elenco numerato	Numbered list	Liste numérotée	Lista numerada	Nummerierte Liste
rte.source	Editor HTML: vista sorgente HTML	Mostra/Modifica HTML	View/Edit HTML	Afficher/Modifier le HTML	Ver/Editar HTML	HTML anzeigen/bearbeiten
rte.strike	Editor HTML: barrato	Barrato	Strikethrough	Barré	Tachado	Durchgestrichen
rte.ul	Editor HTML: elenco puntato	Elenco puntato	Bulleted list	Liste à puces	Lista con viñetas	Aufzählung
rte.underline	Editor HTML: sottolineato	Sottolineato	Underline	Souligné	Subrayado	Unterstrichen
savedTemplates.empty	Messaggio nessun template salvato	Nessun template salvato.	No saved templates.	Aucun modèle enregistré.	No hay plantillas guardadas.	Keine gespeicherten Vorlagen.
select.none	Opzione select nessuno	— Nessuno —	— None —	— Aucun —	— Ninguno —	— Keiner —
skills.active	Etichetta competenza attiva	Attiva	Active	Active	Activa	Aktiv
skills.addTooltip	Tooltip aggiunta competenza	Aggiungi una competenza	Add a skill	Ajouter une compétence	Añadir una competencia	Kompetenz hinzufügen
skills.deleteTitle	Titolo eliminazione competenza	Elimina competenza	Delete skill	Supprimer la compétence	Eliminar competencia	Kompetenz löschen
skills.deleted	Messaggio competenza eliminata	Competenza eliminata.	Skill deleted.	Compétence supprimée.	Competencia eliminada.	Kompetenz gelöscht.
skills.inUseTooltip	Tooltip competenza in uso	Competenza in uso — impossibile eliminare	Skill in use — cannot be deleted	Compétence utilisée — suppression impossible	Competencia en uso — no se puede eliminar	Kompetenz wird verwendet — Löschen nicht möglich
skills.namePlaceholder	Placeholder nome competenza	Nome competenza	Skill name	Nom de la compétence	Nombre de la competencia	Name der Kompetenz
skills.namesRequired	Validazione nomi competenze	Tutti i nomi devono essere compilati.	All names are required.	Tous les noms sont obligatoires.	Todos los nombres son obligatorios.	Alle Namen müssen ausgefüllt werden.
skills.new	Pulsante nuova competenza	Nuova	New	Nouvelle	Nueva	Neu
skills.newRow	Etichetta nuova riga competenza	Nuovo	New	Nouveau	Nuevo	Neu
skills.noResults	Messaggio nessuna competenza	Nessuna competenza.	No skills.	Aucune compétence.	No hay competencias.	Keine Kompetenzen.
skills.saved	Messaggio competenze salvate	Competenze salvate!	Skills saved!	Compétences enregistrées !	¡Competencias guardadas!	Kompetenzen gespeichert!
solver.balance.hours	Etichetta sezione Parametri Solver	Ore	Hours	Heures	Horas	Stunden
solver.balance.shifts	Etichetta sezione Parametri Solver	Turni	Shifts	Quarts	Turnos	Schichten
solver.col.balance	Etichetta sezione Parametri Solver	Bilanciamento	Balance	Équilibrage	Equilibrio	Ausgleich
solver.col.duration	Etichetta sezione Parametri Solver	Durata	Duration	Durée	Duración	Dauer
solver.col.maxPerDay	Etichetta sezione Parametri Solver	Max turni/giorno	Max shifts/day	Max quarts/jour	Máx turnos/día	Max. Schichten/Tag
solver.col.minRest	Etichetta sezione Parametri Solver	Riposo minimo	Minimum rest	Repos minimal	Descanso mínimo	Mindestruhezeit
solver.err.unimproved	Etichetta sezione Parametri Solver	Lo stop senza miglioramenti non può superare la durata massima.	The unimproved stop cannot exceed the maximum duration.	L'arrêt sans amélioration ne peut pas dépasser la durée maximale.	La parada sin mejoras no puede superar la duración máxima.	Der Stopp ohne Verbesserung darf die maximale Dauer nicht überschreiten.
solver.err.weekly	Etichetta sezione Parametri Solver	I turni minimi settimanali non possono superare i massimi.	Minimum weekly shifts cannot exceed the maximum.	Les quarts hebdomadaires minimum ne peuvent pas dépasser le maximum.	Los turnos semanales mínimos no pueden superar el máximo.	Die wöchentlichen Mindestschichten dürfen das Maximum nicht überschreiten.
solver.group.dailyWeekly	Etichetta sezione Parametri Solver	Regole giornaliere e settimanali	Daily and weekly rules	Règles quotidiennes et hebdomadaires	Reglas diarias y semanales	Tägliche und wöchentliche Regeln
solver.group.night	Etichetta sezione Parametri Solver	Fascia notturna	Night range	Plage de nuit	Franja nocturna	Nachtzeitraum
solver.group.options	Etichetta sezione Parametri Solver	Opzioni	Options	Options	Opciones	Optionen
solver.group.processing	Etichetta sezione Parametri Solver	Elaborazione	Processing	Traitement	Procesamiento	Verarbeitung
solver.group.weights	Etichetta sezione Parametri Solver	Pesi di ottimizzazione	Optimization weights	Poids d'optimisation	Pesos de optimización	Optimierungsgewichte
solver.help.allow_unassigned	Tooltip aiuto parametro solver allow_unassigned	Se attivo il solver può lasciare turni scoperti (con penalità) invece di forzare sempre la copertura.	When on, the solver may leave shifts uncovered (with a penalty) instead of always forcing coverage.	Activé, le solveur peut laisser des quarts non couverts (avec pénalité) au lieu de toujours forcer la couverture.	Si está activo, el solver puede dejar turnos sin cubrir (con penalización) en lugar de forzar siempre la cobertura.	Wenn aktiv, darf der Solver Schichten unbesetzt lassen (mit Strafe), statt immer eine Besetzung zu erzwingen.
solver.help.avoid_specialist_weight	Tooltip aiuto parametro solver avoid_specialist_weight	Quanto penalizzare l'abbinamento di un operatore a uno specialista marcato 'da evitare' (0–10).	How much to penalize pairing an operator with a specialist marked as 'to avoid' (0–10).	Dans quelle mesure pénaliser l'association d'un opérateur à un spécialiste marqué « à éviter » (0–10).	Cuánto penalizar la asignación de un operador a un especialista marcado como «a evitar» (0–10).	Wie stark die Zuordnung eines Mitarbeiters zu einem als „zu vermeiden“ markierten Spezialisten bestraft wird (0–10).
solver.help.balance_by_hours	Tooltip aiuto parametro solver balance_by_hours	Se attivo il bilanciamento considera le ore totali lavorate, altrimenti il numero di turni.	When on, workload balancing considers total hours worked; otherwise it considers the number of shifts.	Activé, l'équilibrage de la charge prend en compte le total d'heures travaillées ; sinon le nombre de quarts.	Si está activo, el equilibrado de carga considera el total de horas trabajadas; si no, el número de turnos.	Wenn aktiv, berücksichtigt der Lastausgleich die gesamten Arbeitsstunden; andernfalls die Anzahl der Schichten.
solver.help.balance_weight	Tooltip aiuto parametro solver balance_weight	Quanto conta l'equità del carico tra operatori (per ore o per numero turni, vedi opzione dedicata); più alto = carichi più uniformi (0–10).	How much fair workload distribution among operators matters (by hours or by shift count, see the dedicated option); higher = more even workloads (0–10).	Importance d'une répartition équitable de la charge entre opérateurs (par heures ou par nombre de quarts, voir l'option dédiée) ; plus élevé = charges plus homogènes (0–10).	Cuánto importa una distribución equitativa de la carga entre operadores (por horas o por número de turnos, ver la opción dedicada); mayor = cargas más uniformes (0–10).	Wie wichtig eine faire Lastverteilung unter den Mitarbeitern ist (nach Stunden oder Schichtanzahl, siehe eigene Option); höher = gleichmäßigere Auslastung (0–10).
solver.help.consecutive_days_weight	Tooltip aiuto parametro solver consecutive_days_weight	Quanto conta il rispetto del massimo di giorni lavorativi consecutivi impostato; 0 disattiva la penalità (0–10).	How much respecting the configured maximum consecutive working days matters; 0 disables the penalty (0–10).	Importance du respect du maximum de jours travaillés consécutifs configuré ; 0 désactive la pénalité (0–10).	Cuánto importa cumplir el máximo de días laborables consecutivos configurado; 0 desactiva la penalización (0–10).	Wie wichtig die Einhaltung der konfigurierten maximalen aufeinanderfolgenden Arbeitstage ist; 0 deaktiviert die Strafe (0–10).
solver.help.context_days	Tooltip aiuto parametro solver context_days	Giorni adiacenti alla finestra i cui turni già assegnati sono caricati come contesto bloccato (sovrapposizioni, riposo, ore e giorni consecutivi li vedono ma non li cambiano); 0 = solo finestra.	Days adjacent to the window whose already-assigned shifts are loaded as locked context (overlap, rest, weekly hours and consecutive-day constraints see them but do not change them); 0 = window only.	Jours adjacents à la fenêtre dont les quarts déjà affectés sont chargés comme contexte verrouillé (les contraintes de chevauchement, repos, heures hebdomadaires et jours consécutifs les voient sans les modifier) ; 0 = fenêtre seule.	Días adyacentes a la ventana cuyos turnos ya asignados se cargan como contexto bloqueado (las restricciones de solapamiento, descanso, horas semanales y días consecutivos los ven pero no los cambian); 0 = solo la ventana.	An das Fenster angrenzende Tage, deren bereits zugewiesene Schichten als gesperrter Kontext geladen werden (Überschneidungs-, Ruhe-, Wochenstunden- und Folgetage-Regeln sehen sie, ändern sie aber nicht); 0 = nur Fenster.
solver.help.days_off_weight	Tooltip aiuto parametro solver days_off_weight	Quanto conta il rispetto dei riposi minimi settimanali impostati; 0 disattiva la penalità (0–10).	How much respecting the configured minimum weekly days off matters; 0 disables the penalty (0–10).	Importance du respect des repos hebdomadaires minimum configurés ; 0 désactive la pénalité (0–10).	Cuánto importa cumplir los descansos semanales mínimos configurados; 0 desactiva la penalización (0–10).	Wie wichtig die Einhaltung der konfigurierten wöchentlichen Mindestruhetage ist; 0 deaktiviert die Strafe (0–10).
solver.help.desired_date_weight	Tooltip aiuto parametro solver desired_date_weight	Quanto premiare i turni nelle date preferite dall'operatore; più alto = il solver le accontenta di più (0–10).	How much to reward shifts on the operator's preferred dates; higher = the solver satisfies them more (0–10).	Dans quelle mesure récompenser les quarts aux dates préférées de l'opérateur ; plus élevé = le solveur les satisfait davantage (0–10).	Cuánto premiar los turnos en las fechas preferidas del operador; mayor = el solver las satisface más (0–10).	Wie stark Schichten an den Wunschterminen des Mitarbeiters belohnt werden; höher = der Solver erfüllt sie stärker (0–10).
solver.help.diminished_ratio_pct	Tooltip aiuto parametro solver diminished_ratio_pct	Il solver si ferma quando il ritmo di miglioramento scende sotto questa percentuale del ritmo iniziale (1–100); attivo solo con finestra > 0.	The solver stops when the improvement rate falls below this percentage of the initial rate (1–100); active only when the window is > 0.	Le solveur s'arrête quand le rythme d'amélioration descend sous ce pourcentage du rythme initial (1–100) ; actif seulement si la fenêtre est > 0.	El solver se detiene cuando el ritmo de mejora cae por debajo de este porcentaje del ritmo inicial (1–100); solo activo con ventana > 0.	Der Solver stoppt, wenn die Verbesserungsrate unter diesen Prozentsatz der Anfangsrate fällt (1–100); nur aktiv, wenn das Fenster > 0 ist.
solver.help.diminished_window_seconds	Tooltip aiuto parametro solver diminished_window_seconds	Finestra (secondi) per lo stop a rendimento decrescente: confronta il ritmo di miglioramento con quello di N secondi prima; 0 disattiva.	Observation window (seconds) for diminishing-returns stop: compares the current improvement rate with that of N seconds earlier; 0 disables it.	Fenêtre d'observation (secondes) pour l'arrêt à rendement décroissant : compare le rythme d'amélioration actuel à celui d'il y a N secondes ; 0 désactive.	Ventana de observación (segundos) para la parada por rendimiento decreciente: compara el ritmo de mejora actual con el de N segundos antes; 0 la desactiva.	Beobachtungsfenster (Sekunden) für den Stopp bei abnehmendem Ertrag: vergleicht die aktuelle Verbesserungsrate mit der von vor N Sekunden; 0 deaktiviert.
solver.help.max_consecutive_days	Tooltip aiuto parametro solver max_consecutive_days	Giorni lavorativi consecutivi massimi per operatore; 0 disabilita il limite.	Maximum consecutive working days per operator; 0 disables the limit.	Jours de travail consécutifs maximaux par opérateur ; 0 désactive la limite.	Días laborables consecutivos máximos por operador; 0 desactiva el límite.	Maximale aufeinanderfolgende Arbeitstage pro Mitarbeiter; 0 deaktiviert das Limit.
solver.help.max_shifts_per_day	Tooltip aiuto parametro solver max_shifts_per_day	Numero massimo di turni per lo stesso operatore nello stesso giorno (1–5).	Maximum number of shifts for the same operator on the same day (1–5).	Nombre maximal de quarts pour le même opérateur le même jour (1–5).	Número máximo de turnos para el mismo operador en el mismo día (1–5).	Maximale Anzahl an Schichten für denselben Mitarbeiter am selben Tag (1–5).
solver.help.max_solve_seconds	Tooltip aiuto parametro solver max_solve_seconds	Tempo massimo di calcolo (5–600 s): oltre il limite viene restituita la miglior soluzione trovata.	Maximum solving time (5–600 s): after the limit the best solution found is returned.	Temps de calcul maximal (5–600 s) : au-delà, la meilleure solution trouvée est renvoyée.	Tiempo máximo de cálculo (5–600 s): superado el límite se devuelve la mejor solución encontrada.	Maximale Rechenzeit (5–600 s): Nach dem Limit wird die beste gefundene Lösung zurückgegeben.
solver.help.max_weekly_hours	Tooltip aiuto parametro solver max_weekly_hours	Tetto di ore settimanali per operatore; 0 disabilita il limite.	Weekly hours cap per operator; 0 disables the limit.	Plafond d'heures hebdomadaires par opérateur ; 0 désactive la limite.	Tope de horas semanales por operador; 0 desactiva el límite.	Wöchentliche Stundenobergrenze pro Mitarbeiter; 0 deaktiviert das Limit.
solver.help.max_weekly_shifts	Tooltip aiuto parametro solver max_weekly_shifts	Turni massimi settimanali per operatore; 0 disabilita il massimo.	Maximum weekly shifts per operator; 0 disables the maximum.	Quarts hebdomadaires maximaux par opérateur ; 0 désactive le maximum.	Turnos semanales máximos por operador; 0 desactiva el máximo.	Maximale Anzahl wöchentlicher Schichten pro Mitarbeiter; 0 deaktiviert das Maximum.
solver.help.min_days_off_per_week	Tooltip aiuto parametro solver min_days_off_per_week	Giorni di riposo minimi per operatore in una settimana (0–7).	Minimum days off per operator in a week (0–7).	Jours de repos minimaux par opérateur sur une semaine (0–7).	Días de descanso mínimos por operador en una semana (0–7).	Mindestanzahl freier Tage pro Mitarbeiter in einer Woche (0–7).
solver.help.min_weekly_shifts	Tooltip aiuto parametro solver min_weekly_shifts	Turni minimi settimanali per operatore; 0 disabilita il minimo.	Minimum weekly shifts per operator; 0 disables the minimum.	Quarts hebdomadaires minimaux par opérateur ; 0 désactive le minimum.	Turnos semanales mínimos por operador; 0 desactiva el mínimo.	Mindestanzahl wöchentlicher Schichten pro Mitarbeiter; 0 deaktiviert das Minimum.
solver.help.minimum_rest_hours	Tooltip aiuto parametro solver minimum_rest_hours	Ore minime di riposo tra la fine di un turno e l'inizio del successivo dello stesso operatore (vincolo rigido).	Minimum rest hours between the end of one shift and the start of the next for the same operator (hard constraint).	Heures de repos minimales entre la fin d'un quart et le début du suivant pour le même opérateur (contrainte stricte).	Horas mínimas de descanso entre el fin de un turno y el inicio del siguiente del mismo operador (restricción rígida).	Mindestruhezeit zwischen dem Ende einer Schicht und dem Beginn der nächsten desselben Mitarbeiters (harte Regel).
solver.help.night_balance_weight	Tooltip aiuto parametro solver night_balance_weight	Quanto conta l'equità nella distribuzione dei turni notturni (fascia definita da Ora inizio/fine notte) (0–10).	How much fair distribution of night shifts among operators matters (night range set by the night start/end hours) (0–10).	Importance d'une répartition équitable des quarts de nuit entre opérateurs (plage de nuit définie par les heures de début/fin de nuit) (0–10).	Cuánto importa una distribución equitativa de los turnos nocturnos entre operadores (franja nocturna definida por las horas de inicio/fin de noche) (0–10).	Wie wichtig eine faire Verteilung der Nachtschichten unter den Mitarbeitern ist (Nachtzeitraum durch die Nachtbeginn-/-endstunden festgelegt) (0–10).
solver.help.night_end_hour	Tooltip aiuto parametro solver night_end_hour	Ora di fine della fascia notturna (0–23), usata per identificare e bilanciare i turni notturni.	End hour of the night range (0–23), used to identify and balance night shifts.	Heure de fin de la plage de nuit (0–23), utilisée pour identifier et équilibrer les quarts de nuit.	Hora de fin de la franja nocturna (0–23), usada para identificar y equilibrar los turnos nocturnos.	Endstunde des Nachtzeitraums (0–23), zur Identifizierung und zum Ausgleich von Nachtschichten.
solver.help.night_start_hour	Tooltip aiuto parametro solver night_start_hour	Ora di inizio della fascia notturna (0–23), usata per identificare e bilanciare i turni notturni.	Start hour of the night range (0–23), used to identify and balance night shifts.	Heure de début de la plage de nuit (0–23), utilisée pour identifier et équilibrer les quarts de nuit.	Hora de inicio de la franja nocturna (0–23), usada para identificar y equilibrar los turnos nocturnos.	Startstunde des Nachtzeitraums (0–23), zur Identifizierung und zum Ausgleich von Nachtschichten.
solver.help.optional_skill_weight	Tooltip aiuto parametro solver optional_skill_weight	Quanto premiare gli operatori che hanno anche le competenze opzionali del turno, oltre a quelle obbligatorie (0–10).	How much to reward operators who also have the shift's optional skills, beyond the mandatory ones (0–10).	Dans quelle mesure récompenser les opérateurs possédant aussi les compétences facultatives du quart, en plus des obligatoires (0–10).	Cuánto premiar a los operadores que también tienen las competencias opcionales del turno, además de las obligatorias (0–10).	Wie stark Mitarbeiter belohnt werden, die zusätzlich zu den Pflichtkompetenzen auch die optionalen Kompetenzen der Schicht besitzen (0–10).
solver.help.same_location_weight	Tooltip aiuto parametro solver same_location_weight	Quanto premiare la continuità di sede: stessi operatori nella stessa sede in giorni vicini (0–10).	How much to reward location continuity: the same operators at the same location on nearby days (0–10).	Dans quelle mesure récompenser la continuité de site : les mêmes opérateurs sur le même site les jours proches (0–10).	Cuánto premiar la continuidad de sede: los mismos operadores en la misma sede en días cercanos (0–10).	Wie stark Standortkontinuität belohnt wird: dieselben Mitarbeiter am selben Standort an nahen Tagen (0–10).
solver.help.stop_when_feasible	Tooltip aiuto parametro solver stop_when_feasible	Se attivo il solver si ferma appena tutti i vincoli rigidi sono rispettati, senza ottimizzare ulteriormente i pesi soft (più veloce).	When on, the solver stops as soon as all hard constraints are satisfied, without further optimizing the soft weights (faster).	Activé, le solveur s'arrête dès que toutes les contraintes strictes sont respectées, sans optimiser davantage les poids souples (plus rapide).	Si está activo, el solver se detiene en cuanto se cumplen todas las restricciones rígidas, sin optimizar más los pesos blandos (más rápido).	Wenn aktiv, stoppt der Solver, sobald alle harten Regeln erfüllt sind, ohne die weichen Gewichte weiter zu optimieren (schneller).
solver.help.unassigned_weight	Tooltip aiuto parametro solver unassigned_weight	Penalità per ogni turno lasciato scoperto; più alta = il solver copre più turni anche a scapito dei pesi soft (1–100).	Penalty for each shift left uncovered; higher = the solver covers more shifts even at the expense of soft weights (1–100).	Pénalité pour chaque quart laissé non couvert ; plus élevé = le solveur couvre davantage de quarts, au détriment des poids souples (1–100).	Penalización por cada turno sin cubrir; mayor = el solver cubre más turnos incluso a costa de los pesos blandos (1–100).	Strafe für jede unbesetzte Schicht; höher = der Solver besetzt mehr Schichten, auch zulasten der weichen Gewichte (1–100).
solver.help.undesired_date_weight	Tooltip aiuto parametro solver undesired_date_weight	Quanto penalizzare i turni nelle date sgradite dall'operatore; più alto = il solver le evita di più (0–10).	How much to penalize shifts on the operator's unwanted dates; higher = the solver avoids them more (0–10).	Dans quelle mesure pénaliser les quarts aux dates non souhaitées de l'opérateur ; plus élevé = le solveur les évite davantage (0–10).	Cuánto penalizar los turnos en las fechas no deseadas del operador; mayor = el solver las evita más (0–10).	Wie stark Schichten an unerwünschten Terminen des Mitarbeiters bestraft werden; höher = der Solver vermeidet sie stärker (0–10).
solver.help.unimproved_seconds	Tooltip aiuto parametro solver unimproved_seconds	Ferma il calcolo se non ci sono miglioramenti per questi secondi; 0 disattiva lo stop anticipato.	Stops solving if there is no improvement for this many seconds; 0 disables early stopping.	Arrête le calcul en l'absence d'amélioration pendant ce nombre de secondes ; 0 désactive l'arrêt anticipé.	Detiene el cálculo si no hay mejoras durante estos segundos; 0 desactiva la parada anticipada.	Stoppt die Berechnung, wenn für so viele Sekunden keine Verbesserung erfolgt; 0 deaktiviert den vorzeitigen Stopp.
solver.help.weekly_shift_weight	Tooltip aiuto parametro solver weekly_shift_weight	Quanto conta il rispetto dei turni settimanali minimi/massimi impostati; 0 disattiva la penalità (0–10).	How much respecting the configured weekly min/max shifts matters; 0 disables the penalty (0–10).	Importance du respect des quarts hebdomadaires min/max configurés ; 0 désactive la pénalité (0–10).	Cuánto importa cumplir los turnos semanales mín/máx configurados; 0 desactiva la penalización (0–10).	Wie wichtig die Einhaltung der konfigurierten wöchentlichen Min-/Max-Schichten ist; 0 deaktiviert die Strafe (0–10).
solver.hint.avoid_specialist_weight	Hint parametro solver avoid_specialist_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.balance_weight	Hint parametro solver balance_weight	0–10.	0–10.	0–10.	0–10.	0–10.
solver.hint.consecutive_days_weight	Hint parametro solver consecutive_days_weight	0–10. Peso del rispetto del massimo di giorni consecutivi.	0–10. Weight for respecting the maximum consecutive days.	0–10. Poids du respect des jours consécutifs maximum.	0–10. Peso del cumplimiento de los días consecutivos máximos.	0–10. Gewicht für die Einhaltung der maximalen aufeinanderfolgenden Tage.
